,word_id,word,up_votes,down_votes,author,definition
1942548,5564449,Herman,328,263,e414edb3,When ones scrotum exceeds the length of their penis
1943695,5567865,jigga man,121,87,c05a7090,"jigga man is the black super hero, very closly related to super man. He is strong, fast and can fly. His main super power is that he hits people on the head with his giant dick. Women love him, men want to be him."
1945339,5573757,Morgan Freeman,428,201,e3802fdf,Black Jesus
1946809,5578291,Amanda,2533,1172,fd8e0e96,"A fantastic person that takes your breath away with how alike you are, because she loves all the same things you do. ;; Even on your darkest days she'll put a smile on your face. ;; She's extremely gorgeous, caring, thoughtful, ridiculously smart, always knows exactly what to say. She's extremely talented in every direction. ;; and, she is quite possibly the best person I have ever met."
1949344,5586748,man whore,190,117,44a89c97,a guy who can get a girl who gets called a man whore bye his freinds because they cant get one themselves
1949643,5587700,Emmanuel,163,156,5bf75828,v: to kick the shit out of something upon seeing it and/or having it near you ;; n: the act of kicking the shit out of something upon seeing it and/or having it near you ;; n: one who kicks the shit out of something upon seeing it and/or having it near him
1949752,5588005,amanda,181,131,7000e84c,"Amanda is that girl that you let go away. She is that girl that brought you more happiness than you could expect from a person. But she spoiled you, and you took it for granted. And now you miss her; you know you do. But she's happier now without you, and all you can do now is be happy for her."
1957465,5614270,dang man,124,9,351abb38,a phrase that Chinese people from Kansas always say
1963656,5635961,Martin Freeman,566,31,49a60afb,"A British actor well-known for his work in The Office and his upcoming role as Bilbo in the Hobbit. He also plays John Watson in the recent BBC adaptation of Sherlock Holmes, and is made of kittens. ;; He goes fast."
1965369,5641788,Sulaiman,139,42,9f50de58,A [sexy] man who smells like [coffee] and [cigarettes]. He isn't sure if he want to be an actor or a [techie]. Sometimes he'll [wuss out] on plans with you but he's still a good friend.
1967371,5649335,bromance,107,62,6430fd7e,"when two guys have a very close bond, to the point where they act like a couple, except that they are both straight. Signs of a bromance include, but are not limited to: knowing what the other is thinking, hanging out 27/7, hugging, extensive high-fiving, and sharing clothes. Some famous examples include Sherlock Holmes and Watson, and Captain Kirk and Spock."
1978030,5687385,Ten Crack Commandments,356,115,19117003,"Notorious B.I.G.'s Ten Crack Commandments in plain English ;; 1) Don't let anyone know how much money you have. It'll make people jealous and want to steal it from you. ;; 2) Don't let anyone know what you're doing next. People will use this knowledge to rob you and hurt you. ;; 3) Don't trust anyone. Even your mother would betray you for the money that'll be in it. ;; 4) Don't take your own crack. ;; 5) Don't sell crack around the area you live in, not even if it's the biggest crack order known to man - it's not worth it. ;; 6) Don't give credit. A crackhead will NEVER pay you back. ;; 7) Keep your family and business completely separate. ;; 8) Don't carry crack on you. You will almost definitely get robbed if you don't follow this commandment. ;; 9) Stay away from the police at all times. If people think you're a snitch then they won't listen to your excuses and it will not only destroy your business but people will probably try to kill you. ;; 10) If you don't have people to sell your crack to in the first place, don't buy any to sell on. Your suppliers won't care whether you sell it or not, they'll take their money from you."
1981322,5697661,Amanda,773,848,1eff2901,"A-Man-Duh could be female but with such strong male features it is hard to tell. ;; Has a bad figure, no boobs, no ass and horrible skinny legs. ;; Has lollipop syndrome, a large head with a massive forhead on a pole like body. ;; Will be bi sexual due to the fact that she has tried getting guys but no guy will stay with her, so now she tries it with the girls. ;; Will try and have sex with a guy who is dating a girl she hates just to piss the girl off. ;; Has no shame in using her ex boyfriends bed to have sex with another guy. ;; Bitchy and foul mouthed. ;; Of low intelligence, has difficulty with spelling simple words and has extremely bad grammar. ;; Will never amount to anything in life. ;; Most outstanding achievements in life so far are: Nothing! ;; Thankfully ... Knows what a town house and a milist is."
1981555,5698561,Marmango,108,8,a94f7bab,Marmango is the national dance of Greece (Hellass). It is a homosexual dance done with 5 or more males - very pleasurable for Greek males !
1982987,5705435,Morgan Freeman,192,165,59bc518b,an actor who often plays the role of 'the wise black man'. ;; he is the secret identity of god. ;; other religions refer to him as allah or buddha. ;; people found out about this because he played god in 'bruce almighty'.
1985877,5712896,Arman,235,129,5dd7cfa2,The sexiest man alive everyone want to have his giant dong. He is the sexiest man alive. he is hotter than the sun. every one loves him.
2002980,5755379,old man strength,133,46,f708ee6f,"The uncanny ability of older men to lift copious amounts of lumber, heavy furniture, and beat their sons in arm wrestling."
2004674,5759568,Gorman,142,41,615b1cfd,"Gorman ;; 1st definition: Noun: A person, esp. a shyster, who uses unscrupulous, fraudulent, or deceptive methods in business but spends all his earnings on prostitutes ;; 2nd definition: Verb: To take other peoples hard earned cash to make fruitless business ventures, rife with hollow promises. ;; 3rd definition: Noun: A person who runs a business on the verge of destitution due to his poor organizational skills"
2008002,5768853,short man's syndrome,202,119,c3be4a96,"A term used to dehumanize short men. On the basis of this prejudiced term, a short man isn't allowed to do anything assertive, confident, or generally masculine without being accused of overcompensating or having short man's syndrome. ;; Whereas if a taller man exhibited the same exact behavior, nobody would bat an eyelash."
2016481,5789959,Amanda,120,64,c34aed61,"The best person to be around when you are drunk. Will most likely dance on you and make out with you if you are not careful. Probably one of the coolest people you will ever meet. She is a tiger in the bedroom and has been known to handle an all-night all-male smack down a few times in her college days. Definition of 'Lady in the streets, but a freak in the sheets'. You will feel more than comfortable taking her home to meet your mother, and also more than comfortable when she ravishes you in the bedroom afterwards."
2018356,5795544,Because I'm Batman,218,30,7211e57b,Overall its a justifiable excuse for when you do something completely amazing or really stupid. From passing an exam to accidental setting your house on fire due to the fact that you didn't catch that last flaming chainsaw.
2020131,5800922,Smang,142,88,a2a0bc22,"basically a combination of smash and bang as a verb, to describe sex or the motion of sex. From my knowlege it came from a song 'Lemme Smang it' by Yung Humma ft Flynt Flossy of Turquoise Jeep Records. The song is on youtube and Itunes. There is a specific dance which is also associated with word, as seen in the video."
2023182,5810741,man,784,483,e9a96449,"Dear editor, this entry does not violate any of the rules on the editor homepage. 'Rule 3. Publish opinions. Don't reject an entry just because it's opinionated. Opinions are useful to readers unfamiliar with a topic. Don't reject an entry because you disagree or are offended. Don't reject an entry because you think it's inaccurate.' It is not sexist as it is a view which can be held by any gender, does not generalise entire groups and does not mention any approval or promotion of discrimination. 'Rule 2 Entries can document discrimination but not endorse it.' So act with a little integrity, for once. ;; 90% are useless, worthless arseholes who vote up and post misogynistic definitions. when they're not doing that they're probably whining their egocentric hearts out that people are complaining about their stupid misogynistic arses whilst desperately trying to distance themselves from that fact. despite this they'll often either a) not vote down male chauvinism and only recognise sexism exists when (shock, horror!) it's directed at them (useless, worthless arsehole) or b) laugh at misogyny and casual sexism and vote it up. c) the absolute rarity on urbandictionary: feminist male who votes down chauvinistic, masculist sociopathy and who doesn't expect people to simply accept casual chauvinism and irrational prejudice because some other oblivious, privileged arsehole who only empathises with their own interests (fuck you) finds it amusing."
2023183,5810744,man,2163,1161,e9a96449,"Dear editor, this entry does not violate any of the rules on the editor homepage. 'Rule 3. Publish opinions. Don't reject an entry just because it's opinionated. Opinions are useful to readers unfamiliar with a topic. Don't reject an entry because you disagree or are offended. Don't reject an entry because you think it's inaccurate.' It is not sexist as it is a view which can be held by any gender, does not generalise entire groups and does not mention any approval or promotion of discrimination. 'Rule 2 Entries can document discrimination but not endorse it.' So act with a little integrity, for once. ;; 90% are useless, worthless arseholes who vote up and post misogynistic definitions. when they're not doing that they're probably whining their egocentric hearts out that people are complaining about their stupid misogynistic arses whilst desperately trying to distance themselves from that fact. despite this they'll often either a) not vote down male chauvinism and only recognise sexism exists when (shock, horror!) it's directed at them (useless, worthless arsehole) or b) laugh at misogyny and casual sexism and vote it up. c) the absolute rarity on urbandictionary: feminist male who votes down chauvinistic, masculist sociopathy and who doesn't expect people to simply accept casual chauvinism and irrational prejudice because some other oblivious, privileged arsehole who only empathises with their own interests (fuck you) finds it amusing."
2023184,5810747,man,2170,972,e9a96449,"Dear editor, this entry does not violate any of the rules on the editor homepage. 'Rule 3. Publish opinions. Don't reject an entry just because it's opinionated. Opinions are useful to readers unfamiliar with a topic. Don't reject an entry because you disagree or are offended. Don't reject an entry because you think it's inaccurate.' It is not sexist as it is a view which can be held by any gender, does not generalise entire groups and does not mention any approval or promotion of discrimination. 'Rule 2 Entries can document discrimination but not endorse it.' So act with a little integrity, for once. ;; 90% are useless, worthless arseholes who vote up and post misogynistic definitions. when they're not doing that they're probably whining their egocentric hearts out that people are complaining about their stupid misogynistic arses whilst desperately trying to distance themselves from that fact. despite this they'll often either a) not vote down male chauvinism and only recognise sexism exists when (shock, horror!) it's directed at them (useless, worthless arsehole) or b) laugh at misogyny and casual sexism and vote it up. c) the absolute rarity on urbandictionary: feminist male who votes down chauvinistic, masculist sociopathy and who doesn't expect people to simply accept casual chauvinism and irrational prejudice because some other oblivious, privileged arsehole who only empathises with their own interests (fuck you) finds it amusing."
2023187,5810752,man,2968,1365,e9a96449,"Dear editor, this entry does not violate any of the rules on the editor homepage. 'Rule 3. Publish opinions. Don't reject an entry just because it's opinionated. Opinions are useful to readers unfamiliar with a topic. Don't reject an entry because you disagree or are offended. Don't reject an entry because you think it's inaccurate.' It is not sexist as it is a view which can be held by any gender, does not generalise entire groups and does not mention any approval or promotion of discrimination. 'Rule 2 Entries can document discrimination but not endorse it.' So act with a little integrity, for once. ;; 90% are useless, worthless arseholes who vote up and post misogynistic definitions. when they're not doing that they're probably whining their egocentric hearts out that people are complaining about their stupid misogynistic arses whilst desperately trying to distance themselves from that fact. despite this they'll often either a) not vote down male chauvinism and only recognise sexism exists when (shock, horror!) it's directed at them (useless, worthless arsehole) or b) laugh at misogyny and casual sexism and vote it up. c) the absolute rarity on urbandictionary: feminist male who votes down chauvinistic, masculist sociopathy and who doesn't expect people to simply accept casual chauvinism and irrational prejudice because some other oblivious, privileged arsehole who only empathises with their own interests (fuck you) finds it amusing."
2023188,5810756,man,3610,1651,e9a96449,"Dear editor, this entry does not violate any of the rules on the editor homepage. 'Rule 3. Publish opinions. Don't reject an entry just because it's opinionated. Opinions are useful to readers unfamiliar with a topic. Don't reject an entry because you disagree or are offended. Don't reject an entry because you think it's inaccurate.' It is not sexist as it is a view which can be held by any gender, does not generalise entire groups and does not mention any approval or promotion of discrimination. 'Rule 2 Entries can document discrimination but not endorse it.' So act with a little integrity, for once. ;; 90% are useless, worthless arseholes who vote up and post misogynistic definitions. when they're not doing that they're probably whining their egocentric hearts out that people are complaining about their stupid misogynistic arses whilst desperately trying to distance themselves from that fact. despite this they'll often either a) not vote down male chauvinism and only recognise sexism exists when (shock, horror!) it's directed at them (useless, worthless arsehole) or b) laugh at misogyny and casual sexism and vote it up. c) the absolute rarity on urbandictionary: feminist male who votes down chauvinistic, masculist sociopathy and who doesn't expect people to simply accept casual chauvinism and irrational prejudice because some other oblivious, privileged arsehole who only empathises with their own interests (fuck you) finds it amusing."
2028066,5824499,We Came As Romans,168,30,7c608364,"A kickass band that released one of the coolest post-hardcore albums ever, 'To Plant A Seed', and two EPs, 'Demonstrations' and 'Dreams'. Their catchy lyrics and guitar riffs are coupled by outstanding bass and enveloping drum fills. Both unclean and clean vocals are major parts of their music, each singer having a unique tone and projection. They aren't a Christian band, but their lyrics have an uplifting, positive theme to them. Overall, they deserve more popularity than they recieve."
2030466,5832217,mangini,179,10,95462ce1,"To respond to a piece of good news with animated, speechless, exuberant excitement. Named after musician Mike Mangini, who was rather pleased to be selected as Dream Theater's new drummer."
2033075,5840330,see a man about a horse,139,169,2a40f64a,"Used by males to politely excuse themselves to the washroom for 'number one' purposes. ;; While reinforced by both of these examples: ;; 'Any general business that needs attending to that you may not care to discuss whith the present party. ;; We can meet for lunch on Tuesday, since I'll be in the area; I have to see an man about a horse. ;; by moth17 Jul 5, 2005' ;; '2. see a man about a horse 271 up, 73 down' ;; A discreet way to leave the table at a restaurant to go to the restroom; derived from a 1940's black-and-white film (sorry, cannot recall the name) where an actor literally says it as he leaves a table to see a man at another table about a horse. ;; 'Excuse me, I have to see a man about a horse.' ;; The origins date back to the days of the 'Not-Quite-So-Wild-Yet-Still-Wild Enough Old West'. When at the local drinking establishment (read at the Saloon) the horse trough was closer to the entrance of the building (usually directly attached) than the outhouses which were generally situated out back. And thus a slang term was born. And of course MOST people had enough common decency to only use the trough for number one."
2035146,5848027,black woman,317,76,52528f68,"A women of potential black African descent although it may not account for their entire genetic make up. They may have naturally curly hair to very kinky and coiled hair and should mixed be counted as black then they may have straight hair as well. Black women, through mixed genes or genetic mutation can have any color hair as well as any color eyes. Most tend to wear no make-up and are naturally beautiful. Black women come from many different regions of the world. And come in all shapes and sizes. Some are not so attractive but many are very attractive."
2039457,5860225,slender man,741,392,aee3ff2,"a tall,slim,face-less man that will stalk you wherever you go untill he gets his 20$"
2041910,5868220,Obamanomics,870,54,89923518,"A static economic state in the U.S., where unemployment remains high, gross domestic product remains below a normal median curve, the treasury continues to deflate the dollar by printing more money and President Obama continues to be an anti capitalist in his economic approach."
2050064,5894540,Schmang,136,33,dbb11465,1. (v) An alternate term used to describe a girl you would bang. ;; 2. Common twitter hashtag; #Schmang ;; 3. Being drunk on low cost drinks
2050507,5895693,Logan Lerman,324,72,fc20440f,"DAYUM DAT BITCH HAWT. ;; As well as being rather attractive...more than rather...very attractive. ;; ANYWAY ;; Logan is also a very talented actor and has been that way from a young age; I can't actually think of one bad performance he has given. I mean, I can think of a bad movie (not naming any names....gamer) but it wasn't his performance that made it bad, it was just a shite movie. ;; Seriously, don't watch it. Unless you like tits and blood and nonsensical plot lines. Everything else he's been in is great though. ;; Logan was born on January 19th 1992, and attended Beverly Hills High School, and there's talk of him going to NYU."
2050748,5896174,poor mans crack,323,53,6e9ef217,Pure nicotine added to a cigarette. Nobody should ever do this.
2051269,5897759,Womanizer,204,141,6a29b533,"A man-whore of the worst kind. ;; Gets many women to love him with empty promises, only cares about sex."
2051362,5898000,poor man's crack,336,59,6e9ef217,"Adding extra nicotine to a cigarette in order to get a high similar to meth or crack. This is very dangerous and nobody should do it. Ever. Of course [meth] and [crack] are both very dangerous anyway, as is smoking, so nobody should do those things either."
2051426,5898210,poor mans crack,558,130,6e9ef217,"Adding extra nicotine to a cigarette in order to get a high similar to meth or crack. This is very dangerous and nobody should do it. Ever. Of course meth and crack are both very dangerous anyway, as is smoking, so nobody should do those things either."
2056327,5913364,I'm Batman,151,31,1d3d00f3,"A phrase so powerful that when used wisely, especially in court, will get you clean of any rape-and-brutal-murder charges for rest of your life."
2058437,5918745,poor man's crack,540,147,d4066d04,To add extra nicotine straight from the bottle to other drugs like [crack] or [meth] in order to increase the intensity and duration of the high. That also makes it easier to overdose.
2059906,5922288,Ciliman,675,3,b3e83946,SEXY MAN.
2059911,5922296,Ciliman,1300,50,b3e83946,SEXY MAN.
2061524,5926918,Humanality,146,17,8cc86ddc,"When an animal sexually assaults and fucks a human. Opposite of Beastiality, when a human sexually assaults and fucks an animal. Beastiality is illegal but Humanality is legal."
2065875,5938458,Emmanuelle,158,43,246e56a0,"One of the most amazing and beautiful girls you will ever meet. An Emmanuelle is sure to bring a smile to anyone's face, and is the kind of girl who lights up a room with her presence. ;; Slightly kooky, a little bizarre, but very funny and unique, you will never meet another individual as truly inspiring and wonderful as Emmanuelle."
2067580,5943644,Fat man delirium,135,35,4e69bc4a,"The ecstatic, overjoyed state that an obese person enters when filling their face with food. The more calorific, the greater the height of delirium; for example a creamy chocolate pudding can induce extreme hysterical behaviour with a complete loss of their surroundings, hell-bent on ingesting as much food as possible."
2074113,5964110,Biromantic,142,51,d4b9b3fa,"Someone who is attracted to both genders, but one or both are non-sexual attractions. They still wish to participate in typical relationship activities; holding hands, snuggling, hugging, going out, buying gifts, etc. However it does not involve sex."
2077213,5973553,obamanation,211,27,3d202f61,(noun) A tent city similar to hooverville in nature.
2078508,5977399,Roman,287,110,387004bd,"The most handsome, sexy, irredistable, funny, caring, loving man that exists. He can brighten up anyones day with his cute, charming smile, and his amazing personality defines his character. Every moment spent with him is a moment that can be cherished. is someone who works extremely hard, and even though failures may sometimes come, he does not let that get in his way.Instead, he continues to learn and pursues his goal. ;; Knowing him and being in love with him is the best thing that can happen in your life. Even when you are miles apart,he still makes you feel Like the luckiest girl alive."
2078960,5978623,manlet,1348,735,863790bb,The little fella you see at the gym who tries to draw attention away from his short stature by packing on excessive muscle mass (this generally has an effect opposite of that which was intended). Often waddles around like a muscly lil' meatball.
2079271,5979422,mischief managed,231,28,a0a75f87,"By using these words you can end any conversation, denote the finish of a project, or excuse yourself from any situation with authority. It's almost like... magic."
2081038,5984519,independent woman,102,56,f68d738b,A [confident] [self motivated] woman who takes [responsibility] for her actions and never blame the rest of the world for her mistakes or her [downfalls]. Her pride doesn't get in the way if she ever needs a helping hand.
2082989,5990466,OJ da Juiceman,148,107,bedc89c0,"1. See: [whack] ;; 2. A rapper less intelligible than a toothless junkie on [PCP]. He may or may not be attempting to speak English, but there's really no way to tell. Known to associate with the slightly more intelligible, but equally whack members of [Brick Squad], who probably keep him around because he makes them seem like well-trained linguists by comparison. It is unknown whether his speech impediments and short stature are a result of being a [crack baby], recieving severe head injuries or simply due to the excessive quantity of narcotics he has consumed over the course of his life."
2084910,5996091,Talimancer,159,73,1f23e1c5,"A Talimancer is a wild, rabid beast which is commonly encountered on the Bioware Social Network. They are unique animals since they are the result of an unfortunate occurence where a perfectly logical male gets infected by the Talimancus Romancus virus. This turns the human being to a drooling beast which crusades against everyone and everything who doesn't want to fuck Tali, or find out what her sweat smells like. Talimancers are pack animals who group together, and they prey on anyone who doesn't like Tali. ;; If you encounter one in the wilds, the best course of action is to ignore it. However, if it is aggressive and tries to come at you, play dead. If you fight back, the beast will call it's pack to help him, and then you are fucked."
2085670,5998569,Dumani,156,14,34df0b40,"Generally used to refer to a Vietnamese male with the following specific appearance characteristics; long-sleeve thermal (black/white in color), a short sleeved polo shirt over the thermal (black/white/grey in color), designer brand jeans and/or black/grey Dickies, Vans/Converse (Chuck Taylors) shoes, exposed tattoos on either one or both arms (usually 3/4 sleeve to full sleeves. Common tattoos are Koi fishes, oriental dragons, chinese calligraphy, tiger, etc...) and a NewEra fitted cap worn a specific way as to where the cap sits/tilts lower towards the front on the head (usually on/covering the eyebrows) and higher on the upper back of the head (similar to how drill sergeants/state troopers wear their campaign hats). ;; The word dumani is singular, referring to only one person. Dumanis is plural. The word consists of 'Du ma', a very vulgar Vietnamese cuss word. ;; Dumanis are NOT to be confused with Vietnamese gangsters, Dumanis typically look/act 'hard/gangster' in appearance but will never do anything or fight anyone by themselves. a Dumani likes to 'mean mug'/stare at other Dumanis in a taunting manner. Dumanis are mostly seen in Northen California but also seen in areas with a high Vietnamese population such as Orange County, Los Angeles, Houston, etc... ;; Any person(s) with the similar characteristics that is any other race/ethnicity other than Vietnamese would be called a 'their race' Dumani-lookalike (i.e.: Chinese Dumani-lookalike, White Dumani-lookalike, etc...)"
2086496,6000477,Roman,172,85,fedeec53,"The sexiest man in the universe, you cant help but to stare at him wishing he was yours, all the girls want him. All the guys are jealous."
2089521,6010308,Lesbomancy,110,3,44c8cbc1,"Allegedly a Type of magic practiced by a lesbian mage Philippa Eilhart (Witcher 2 game character) while trying to heal Saskia (one of the key female characters in Witcher 2). ;; During the healing ritual that involved casting few spells and using a number of magic ingredients Philippa puts a Rose of Remembrance on Saskia's lips before kissing her - thus finalizing the ritual. ;; Saskia recovers but her mind remains under control of Philippa's will. All because of the kiss.... ;; Right after the kiss one of the dwarfs that attended the ritual yells 'My favourite kind of magic, lesbomancy!' implying that magic practiced by Philippa is based on her sexual orientation... ;; During the game, Geralt witnesses few scenes in which Philippa was practicing Lesbomancy with her assistant Cynthia, one of such scenes involved use of whip...Thus we can assume that besides being a type of magic, lezbomancy is also any sexual activity (that might or might not imply use of magic to enhance the experience) practiced by two lesbian mages..."
2092381,6018081,Herman Cain,718,490,84e27b20,The best alternative to Barack Obama. A real role model for the African American community and all of America.
2094877,6025419,Herman,423,207,8092b180,"A sexy individual, who has a real knack for sports and everything else. He is awesomely cute and is dangerously funny. Girls know he's the go-to guy for anything. He also has a charismatic personality and a killer sense of humor."
2096724,6029183,Till Lindemann,272,26,51fdbcd1,"The frontman for titanic German metal group [Rammstein], widely considered one of the most awesome bands in the world. Musician, poet, former competative swimmer, former basket-weaver and part-time Demi-God. Till Lindeman is the anthropomorphic personification of pure [masculinity] who invented the often-lethal dance move: The [Till Hammer], a thigh-pounding mosh technique that replicates a blacksmith smashing the ever-loving shit out of an anvil like it was a ginger stepson. As well as being a warrior, he is also a gentleman and has been known to let you stay in the room while he fucks your girlfriend and mother at the same time."
2101482,6041520,German Sparkle Party,299,126,c1f95a17,"When double rainbows meet German pop singers that are somewhat seen as possible homosexuals. In other words, a gayclash complete with strobe lights, drugs, sparkles, schnitzels, beer boots, pink bratwurst, rubber boots, party pants, ect."
2102593,6047091,Batmanning,348,170,a55017b2,Hanging upside down from something by the strength of your feet and ankles
2108673,6068286,Kill the Irishman,119,7,27ae7ce8,A pretty good movie about the Irish gangster Danny Greene.
2114200,6089390,Logan Lerman,148,42,8b0ad5e0,"Logan Lerman is an American actor. He was born in Beverly Hills to a Jewish family, and has two siblings. He started acting in commercials in the 1990s, and appeared often as a child actor (The Patriot, Riding In Cars With Boys) before moving on to lead roles on the tv show Jack & Bobby (2004 - 2005) and in the movie Hoot (2006). Between 2007 and 2009, he had supporting roles in a few major films, including 3:10 To Yuma, Meet Bill, Gamer, and My One and Only (in which he played a young version of actor George Hamilton). ;; Logan's star status increased with his role in Percy Jackson & The Olympians: The Lightning Thief in 2010, and he will soon star in both The Three Musketeers and The Perks Of Being A Wallflower. ;; Aside from acting, Logan is interested in music and behind-the-scenes work in movies."
2114549,6090372,aiman,159,46,e341a8a5,"A guy that's super sexy. Someone that can dress and sweet talk a girl into loving him. He usually makes every girl he talks to love him but doesn't mean to. He's a sweet and down to earth guy. He's amazing in the bedroom. While he has all these girls waiting for him, he's searching for the right one."
2115672,6094486,Amanda,465,58,2e46e9c9,"Amanda- meaning worthy of love in latin. amazingly beautful, but she dosent know it. she has a wonderful personality but thinks differently. around friends she is vary outgoing. but in crouds and around people she dosent know she is vary shy. she is vary emotional. you will be lucky to have her as a friend for she is vary loyal and trustworthy. you are ether on her good side or on her bad side. there are few peolpe she dosent like. but she can make there lives hell if she wants to. she trys to help everybody, and will give you any advice she can if you need it. she will tell you things you need to hear, and it dosent matter if you wanna hear it or not. she has many admirers but dosent know it. if your lucky enugh to be with her, dont screw it up. the feeling she has for anybody will last no matter what. but theres no telling when they will fade. she loves with all her heart. dont loose her."
2116605,6097446,man hater,137,71,5c4a6a06,"A woman who hates men. Usually because of a relationship that went bad or a bad run in with a male. These women seem to think that one man represents the entire male population and thus all men are lying, cheating, and cruel scumbags that will do nothing but fuck you over and ruin your life. These women are usually very close-minded and ridiculously irrational and judgmental. Basically a real cunt."
2119277,6106742,Osman,107,34,e6dfa529,Just an overall beast. Osman is the greatest present man in the world and he is FRIKKIN AWESOME!!!!!!!!!!!!!!!
2120054,6109289,Herman Cain,476,532,52111f4f,"An Uncle Tom who is trying to run for president in 2012. He is famous for his '9-9-9 plan' which is a tax plan were the super poor pay the same as the super rich. Which shows how disconnected he is from minorities and where his real trust lies..with the super rich douchebags. Also he used to run a pizza company so people sometimes think he is a pizza man, which is kinda inspiring."
2122666,6118639,Amanda,116,24,453ce08b,"A lovely girl with big boobs and a nice bum, she is kind, loyal, smart and witty. She's a very loveable person and she's very giggly too, she's easy going and gets along with a range of people. She thinks the world of her friends and she won't take any shit off anyone. She's often always saying sorry for the slightest of things, but that may only to keep everyone happy and keep the peace. She doesn't want to upset anyone or anything, she's very sociable and she is quite a character however she may be shy at times and quiet. Amanda means beauty, intelligence and that she should be loved dearly. She may be very moody and stupid at times and sarcastic but deep down she's a lovely person"
2123757,6122101,Morgan Freeman,133,159,c5b88cd,God; [my nigga]; a [sex toy] for your ears; [Chuck Norris] for people above 12 years old
2124430,6124092,manolescent,1950,2325,d9102318,noun: A man of any age that shirks adult responsabilities.
2126536,6130688,Human Microphone,3698,4586,c59e2829,"A tactic protesters can use to circumvent police bans on electronic amplification of speech. One person starts to speak to a large crowd. After a short sentence, everyone within hearing distance repeats whatever was said at the top of their lungs, allowing people outside of hearing distance to hear the speech."
2127025,6132229,Bauserman,200,44,549410f0,"a sexual act, after pulling out of your sex partner hold your load as long as possible then launch it ten yards over your partners head"
2130168,6141332,Bauserman,106,39,b7b36dbd,To be physically terrible at anything you try. To be 30 years or older and still hanging around teenagers and trying to succeed at a sport. The act of being the worst possible person you can be.
2135780,6159155,Emmanuel,858,247,4945c039,"Emmanuel is a handsome, tall man who you will learn to love unconditonally. He will tell you the sweetest things and make you smile when you're at your worst. When you dont feel pretty he'll make you feel like the most beautiful amazing woman on earth. He is intellegent as well. Top of his class of course and excellent at fixing things. He wears the cleanest nike shoes and has a twist of mystery. He has the most charming smile and a very great poet. He is a great kisser and the best boyfriend a girl can ask for."
2136321,6160755,Elite Marksman,115,18,2ef26f7c,A casual toilet game: when you and a friend each stand at a urinal and see who can get in the urinal from the furthest distance away.
2137310,6163886,Herman Cain,225,257,23ee098c,A 2012 Presidential Candidate whose add campaign featured one of his political advisors smoking a cigarette at the end of the commercial. The recent video released by Cain's campaign has sparked controversy over the unclear reason of creating a commercial with tobacco in it.
2137659,6164828,Armando,167,101,a4c7eeaf,Usually a dominican guy that is drop dead gorgeous. And always has a big dick. Loves nothing more than to bury his face in a pussy. ;; Can behave like an asshole if you are not careful.
2138085,6166051,Joel Heyman,121,22,4c93d91,"A Joel Heyman is an insanely confusing individual, resorting to mere grunts and screams to communicate. A Joel Heyman is easily calmed by large quantities of Trail Mix and cookies. Joel Heyman feeds on the souls of those smarter then he, and on many occasions has sucked the soul out of President George Bush."
2138132,6166144,armando,208,125,e8c98b73,"a kid that plays xbox like a boss. He is always talking to beautiful girls. a hilarious guy that can make a joke out of anything. He enjoys watching the Hills have thighs, as well as listening to minority by green day. he is a star. ;; Also a term used to describe a new age super man that likes to slap asian kids with penguins."
2140803,6174583,Amanda,4462,1364,827b9f90,"A girl who is worthy of love, as her name means. Intelligent, kind, and witty; she can light up a room simply with her smile. Her sense of humor is amazing, only fully appreciated by a few; if you can truly make her laugh then hold on to her, because she's special, and she knows you are too. Although quick to boast an air of confidence around others, she has a much more tender and meek side that she only fully exposes to individuals she's quite close with. She's an old soul with a youthful spirit; her wisdom mixed with her child-like playfulness makes her one of a kind and can only bring a smile to ones face. Amanda has a beauty of her own comparable to none (Natalie Portman comes close; just to give you an idea). Her beauty is as natural as the beauty of the sun, beaming through the breaking mammatus clouds after a silent storm; powerful and awe inspiring. She is loving, free, and wild. Amanda will also have an amazing butt."
2141360,6176048,Herman Cain,203,343,c67d689,A Koch Sucker.
2141691,6177376,Herman Cain,402,531,47f7ab69,"A sexual act where the man dons a [fedora], throws a pizza over the woman's ass, and proceeds to ass-fuck her through the pizza while yelling 'Who's your godfather?' repeatedly."
2142507,6179955,Herman Cain,342,187,f9944b86,boss nigga
2144987,6188267,Jon Huntsman,159,15,c9078070,"Essentially the only Republican who isn't an anti-science, bible-thumping sociopath, and thus, he's in last place amongst the current presidential candidates."
2145951,6191762,Herman Cain,119,361,10e5feb5,"An ass grabby boss, higher up, shot caller, or well networked individual who assumes any pretty women in a cute outfit wants to fuck him in exchange for jobs, access, or free pizza."
2147807,6197808,Steely-eyed missile man,117,10,7158575,A NASA astronaut or engineer who quickly devises an ingenious solution to a tough problem while under extreme pressure.
2149464,6204326,barside manner,3376,8003,8e7a030,"manner or conduct of a bartender, when waiting on customers."
2152649,6215231,Imani,606,284,ac384e4c,"The most amazing person in the world she is super pretty and really nice and she loves life she is never sad. She is smart, and very talented. She can be shy at times but is a great friend. Super hot :)"
